愛育,あいいく,aiiku
不当労働行為,ふとうろうどうこうい,futouroudoukoui
労働三権,ろうどうさんけん,roudousanken
団結権,だんけつけん,danketsuken
団体交渉権,だんたいこうしょうけん,dantaikoushouken
争議権,だんけつけん,danketsuken
遵法闘争,じゅんぽうとうそう,junpoutousou
順法闘争,じゅんぽうとうそう,junpoutousou
スト権,ストけん,sutoken
時限スト,じげんスト,jigensuto
総同盟罷業,そうどうめいひぎょう,soudoumeihigyou
作業所閉鎖,さぎょうしょへいさ,sagyoushoheisa
日付変更線,ひづけへんこうせん,hizukehenkousen
海水浴場,かいすいよくじょう,kaisuiyokujou
弱毒,じゃくどく,jakudoku
通語,つうご,tsuugo
通言,つうげん,tsuugen
手理,しゅり,shuri
手裏,しゅり,shuri
手裡,しゅり,shuri
侏離,しゅり,shuri
珠履,しゅり,shuri
創瘢,そうはん,souhan
瘡瘢,そうはん,souhan
宋板,そうはん,souhan
宋版,そうはん,souhan
総判,そうはん,souhan
惣判,そうはん,souhan
双盤,そうばん,souban
蔵版,ぞうはん,zouhan
蔵板,ぞうはん,zouhan
少老,しょうろう,shourou
娼楼,しょうろう,shourou
檣楼,しょうろう,shourou
反観,はんかん,hankan
桃園,とうえん,touen
桃苑,とうえん,touen
菝葜,ばっかつ,bakkatsu
芝蘭,しらん,shiran
蘭台,らんだい,randai
蘭医,らんい,ran'i
儒医,じゅい,jui
蘭方,らんぽう,ranpou
東洋医学,とうよういがく,touyouigaku
西洋医学,せいよういがく,seiyouigaku
上﨟,じょうろう,jourou
城楼,じょうろう,jourou
凡百,ぼんぴゃく,bonpyaku
雨縁,あまえん,amaen
肺癆,はいろう,hairou
癆気,ろうき,rouki
癆症,ろうしょう,roushou
姫姜,ききょう,kikyou
妖姫,ようき,youki
多芸,たげい,tagei
帝王学,ていおうがく,teiougaku
冷コー,れいこー,reikoo
課外活動,かがいかつどう,kagaikatsudou
白葡萄酒,しろぶどうしゅ,shirobudoushu
白ワイン,しろワイン,shirowain
生ビール,なまビール,namabiiru
歩行者天国,ほこうしゃてんごく,hokoushatengoku
換気孔,かんきこう,kankikou
常磐,じょうばん,jouban
人間将棋,にんげんしょうぎ,ningenshougi
熱弁,ねつべん,netsuben
西洋料理,せいようりょうり,seiyouryouri
熟字,じゅくじ,jukuji
阿世,あせい,asei
セーラー服,セーラーふく,seeraafuku
専願,せんがん,sengan
復元力,ふくげんりょく,fukugenryoku
復原力,ふくげんりょく,fukugenryoku
中薬,ちゅうやく,chuuyaku
頁岩,けつがん,ketsugan
流し台,ながしだい,nagashidai
公会堂,こうかいどう,koukaidou
打点,だてん,daten
目地,めじ,meji
リザイン,リザイン,rizain
多重,たじゅう,tajuu
家庭内暴力,かていないぼうりょく,kateinaibouryoku
多重夢,たじゅうむ,tajuumu
世代宇宙船,せだいうちゅうせん,sedaiuchuusen
羊皮,ようひ,youhi
独身貴族,どくしんきぞく,dokushinkizoku
行政処分,ぎょうせいしょぶん,gyouseishobun
犯則事件,はんそくじけん,hansokujiken
湿田,しつでん,shitsuden
研究会,けんきゅうかい,kenkyuukai
聖哲,せいてつ,seitetsu
西哲,せいてつ,seitetsu
精鉄,せいてつ,seitetsu
持株会社,もちかぶがいしゃ,mochikabugaisha
㡧画,とうが,touga
見ケ〆料,みかじめりょう,mikajimeryou
見ヶ〆料,みかじめりょう,mikajimeryou
見かじめ料,みかじめりょう,mikajimeryou
パノラマ,パノラマ,panorama
内金,うちきん,uchikin
預金保険,よきんほけん,yokinhoken
住民発案,じゅうみんはつあん,juuminhatsuan
羝乳,ていにゅう,teinyuu
烏白馬角,うはくばかく,uhakubakaku
亀毛兎角,きもうとかく,kimoutokaku
兎角亀毛,とかくきもう,tokakukimou
人間ドック,にんげんドック,ningendokku
劣者,れっしゃ,ressha
年租,ねんそ,nenso
年祚,ねんそ,nenso
捷報,しょうほう,shouhou
勝報,しょうほう,shouhou
唱法,しょうほう,shouhou
秋陰,しゅういん,shuuin
従因,じゅういん,juuin
信男,しんなん,shinnan
有酸素運動,ゆうさんそうんどう,yuusansoundou
棕梠,しゅろ,shuro
公誠,こうせい,kousei
防寒具,ぼうかんぐ,boukangu
水練,すいれん,suiren
垂簾,すいれん,suiren
猛虎,もうこ,mouko
菜豆,さいとう,saitou
西塔,さいとう,saitou
金銅,こんどう,kondou
金堂,こんどう,kondou
毛細管,もうさいかん,mousaikan
盲管,もうかん,moukan
柴灯,さいとう,saitou
斎灯,さいとう,saitou
彩陶,さいとう,saitou
盲官,もうかん,moukan
毛幹,もうかん,moukan
蒙古,もうこ,mouko
猛寒,もうかん,moukan
毛冠,もうかん,moukan
冠毛,かんもう,kanmou
守文,しゅぶん,shubun
高脂血症,こうしけっしょう,koushikesshou
脂質異常症,ししついじょうしょう,shishitsuijoushou
中性脂肪,ちゅせいしぼう,chuseishibou
告る,こくる,kokuru
大虎,おおとら,ootora
小売業,こうりぎょう,kourigyou
サービス業,サービスぎょう,saabisugyou
小売店,こうりてん,kouriten
綺語,きご,kigo
寄語,きご,kigo
奇語,きご,kigo
帰忌,きこ,kiko
帰忌日,きこにち,kikonichi
旗鼓,きこ,kiko
騎虎,きこ,kiko
義故,ぎこ,giko
擬古,ぎこ,giko
議故,ぎこ,giko
硬化ゴム,こうかゴム,koukagomu
硬質ゴム,こうしつゴム,koushitsugomu
累卵,るいらん,ruiran
輪転機,りんてんき,rintenki
腸詰め,ちょうづめ,chouzume
重水,じゅうすい,juusui
有害物質,ゆうがいぶっしつ,yuugaibusshitsu
保養地,ほようち,hoyouchi
保養所,ほようじょ,hoyoujo
勉強会,べんきょうかい,benkyoukai
不可侵,ふかしん,fukashin
臣属,しんぞく,shinzoku
親属,しんぞく,shinzoku
鼠輩,やはい,yahai
儕輩,さいはい,saihai
乳白色,にゅうはくしょく,nyuuhakushoku
航海士,こうかいし,koukaishi
千鈞,せんきん,senkin
判金,はんきん,hankin
版金,はんきん,hankin
仙禽,せんきん,senkin
霊鳥,れいちょう,reichou
霊禽,れいきん,reikin
線金,せんきん,senkin
金属線,きんぞくせん,kinzokusen
ピアノ線,ピアノせん,pianosen
半金,はんきん,hankin
万金,まんきん,mankin
判銀,はんぎん,hangin
版銀,はんぎん,hangin
板銀,ばんぎん,bangin
伴吟,はんぎん,hangin
蝉吟,せんぎん,sengin
蝉語,せんご,sengo
千古,せんこ,senko
あがり症,あがりしょう,agarishou
先古,せんこ,senko
船庫,せんこ,senko
船艙,せんそう,sensou
戦鼓,せんこ,senko
陣太鼓,じんだいこ,jindaiko
陣鐘,じんがね,jingane
陣鉦,じんがね,jingane
譴罰,けんばつ,kenbatsu
内政干渉,ないせいかんしょう,naiseikanshou
新島,しんとう,shintou
内政不干渉,ないせいふかんしょう,naiseifukanshou
沈泥,ちんでい,chindei
積雲,せきうん,sekiun
層積雲,そうせきうん,sousekiun
高積雲,こうせきうん,kousekiun
宰卿,さいけい,saikei
菜畦,さいけい,saikei
歳計,さいけい,saikei
財形貯蓄,ざいけいちょちく,zaikeichochiku
勤労者財産形成貯蓄制度,きんろうしゃざいさんけいせいちょちくせいど,kinroushazaisankeiseichochikuseido
攻太鼓,せめだいこ,semedaiko
左足,さそく,sasoku
左脚,さきゃく,sakyaku
右脚,うきゃく,ukyaku
獣帯,じゅうたい,juutai
近現代,きんげんだい,kingendai
黄道帯,こうどうたい,koudoutai
後処理,あとしょり,atoshori
禅語,ぜんご,zengo
毒婦,どくふ,dokufu
圧迫面接,あっぱくめんせつ,appakumensetsu
大行天皇,たいこうてんのう,taikoutennou
人代名詞,じんだいめいし,jindaimeishi
漸悟,ぜんご,zengo
頓悟,とんご,tongo
稜鱗,りょうりん,ryourin
全戸,ぜんこ,zenko
前古,ぜんこ,zenko
前古未曾有,ぜんこみぞう,zenkomizou
古今未曾有,ここんみぞう,kokonmizou
有産階級,ゆうさんかいきゅう,yuusankaikyuu
生産手段,せいさんしゅだん,seisanshudan
合成皮革,ごうせいひかく,gouseihikaku
織布,しょくふ,shokufu
迷宮入り,めいきゅういり,meikyuuiri
公比,こうひ,kouhi
公妃,こうひ,kouhi
叩扉,こうひ,kouhi
高卑,こうひ,kouhi
皇妣,こうひ,kouhi
各項,かくこう,kakukou
光比,こうひ,kouhi
光被,こうひ,kouhi
考妣,こうひ,kouhi
亡母,もうぼ,moubo
君徳,くんとく,kuntoku
生身,しょうじん,shoujin
吹奏楽器,すいそうがっき,suisougakki
気鳴楽器,きめいがっき,kimeigakki
弦鳴楽器,げんめいがっき,genmeigakki
体鳴楽器,たいめいがっき,taimeigakki
膜鳴楽器,まくめいがっき,makumeigakki
電鳴楽器,でんめいがっき,denmeigakki
再興感染症,さいこうかんせんしょう,saikoukansenshou
務歯,むし,mushi
罨法,あんぽう,anpou
祝言,しゅうげん,shuugen
蜜豆,みつまめ,mitsumame
心像,しんぞう,shinzou
登録商標,とうろくしょうひょう,tourokushouhyou
第一文型,だいいちぶんけい,daiichibunkei
第二文型,だいにぶんけい,dainibunkei
第三文型,だいさんぶんけい,daisanbunkei
第四文型,だいよんぶんけい,daiyonbunkei
第五文型,だいごぶんけい,daigobunkei
アマチュア無線,アマチュアむせん,amachuamusen
装甲車,そうこうしゃ,soukousha
性交渉,せいこうしょう,seikoushou
鉄筆,てっぴつ,teppitsu
風船ガム,ふうせんガム,fuusengamu
長椅子,ながいす,nagaisu
立直,リーチ,riichi
人間チェス,にんげんチェス,ningenchesu
巨桜,きょざくら,kyozakura
電波時計,でんぱどけい,denpadokei
ドルオタ,ドルオタ,doruota
一眼レフ,いちがんレフ,ichiganrefu
牛の問題,うしのもんだい,ushinomondai
緊急自動車,きんきゅうじどうしゃ,kinkyuujidousha
緊急車両,きんきゅうしゃりょう,kinkyuusharyou
羨符,せんぷ,senpu
飾符,しょくふ,shokufu
著述家,ちょじゅつか,chojutsuka
情報源,じょうほうげん,jouhougen
旧法,きゅうほう,kyuuhou
新法,しんぽう,shinpou
差動歯車,さどうはぐるま,sadouhaguruma
ライフル銃,ライフルじゅう,raifurujuu
腔線,こうせん,kousen
鉄梃棒,かなてこぼう,kanatekobou
阿古屋貝,あこやがい,akoyagai
真珠貝,しんじゅがい,shinjugai
柏槙,びゃくしん,byakushin
柏槇,びゃくしん,byakushin
民宿,みんしゅく,minshuku
民泊,みんぱく,minpaku
球種,きゅうしゅ,kyuushu
舌肉,したにく,shitaniku
舞人,ぶじん,bujin
不快害虫,ふかいがいちゅう,fukaigaichuu
衛生害虫,えいせいがいちゅう,eiseigaichuu
有機栽培,ゆうきさいばい,yuukisaibai
有機農業,ゆうきのうぎょう,yuukinougyou
両翼,りょうよく,ryouyoku
主催者,しゅさいしゃ,shusaisha
宿主,しゅくしゅ,shukushu
ひらいた,ひらいた,hiraita
開毛,かいもう,kaimou
開毛機,かいもうき,kaimouki
原毛,げんもう,genmou
投光器,とうこうき,toukouki
探照灯,たんしょうとう,tanshoutou
神火,しんか,shinka
心火,しんか,shinka
烈火,れっか,rekka
真果,しんか,shinka
神歌,しんか,shinka
神徳,しんとく,shintoku
千切り,せんぎり,sengiri
繊切り,せんぎり,sengiri
翼幅,よくふく,yokufuku
歯間,しかん,shikan
執柄,しっぺい,shippei
摂籙,せつろく,setsuroku
酔客,すいきゃく,suikyaku
洋梨,ようなし,younashi
西洋梨,せいようなし,seiyounashi
塞栓症,そくせんしょう,sokusenshou
魚形,ぎょけい,gyokei
異国趣味,いこくしゅみ,ikokushumi
異国情調,いこくじょうちょう,ikokujouchou
異国情緒,いこくじょうちょ,ikokujoucho
風刺画,ふうしが,fuushiga
諷刺画,ふうしが,fuushiga
膏沢,こうたく,koutaku
皇沢,こうたく,koutaku
礼拝堂,らいはいどう,raihaidou
銀器,ぎんき,ginki
三枚肉,さんまいにく,sanmainiku
手灯,しゅとう,shutou
酒鐺,しゅとう,shutou
殺し文句,ころしもんく,koroshimonku
貴ガス,きがす,kigasu
一段活用,いちだんかつよう,ichidankatsuyou
二段活用,にだんかつよう,nidankatsuyou
三段活用,さんだんかつよう,sandankatsuyou
周期律表,しゅうきりつひょう,shuukiritsuhyou
元素周期表,げんそしゅうきひょう,gensoshuukihyou
選手村,せんしゅむら,senshumura
同性婚,どうせいこん,douseikon
領収書,りょうしゅうしょ,ryoushuusho
領収証,りょうしゅうしょう,ryoushuushou
金銭登録器,きんせんとうろくき,kinsentourokuki
逆心,ぎゃくしん,gyakushin
逆臣,ぎゃくしん,gyakushin
電動車,でんどうしゃ,dendousha
葱鮪の殿様,ねぎまのとのさま,negimanotonosama
白物,はくもつ,hakumotsu
証拠金,しょうこきん,shoukokin
天然パーマ,てんねんパーマ,tennenpaama
天パー,てんパー,tenpaa
天パ,てんパ,tenpa
煩務,はんむ,hanmu
繁務,はんむ,hanmu
補論,ほろん,horon
摘心,てきしん,tekishin
御府,ぎょふ,gyofu
倨侮,きょぶ,kyobu
魚鼓,ぎょく,gyoku
魚板,ぎょばん,gyoban
御句,ぎょく,gyoku
漁区,ぎょく,gyoku
勃嚕唵,ぼろん,boron
ストックホルム症候群,すとっくほるむしょうこうぐん,sutokkuhorumushoukougun
装甲艦,そうこうかん,soukoukan
識字率,しきじりつ,shikijiritsu
継家族,ままかぞく,mamakazoku
食通,しょくつう,shokutsuu
美食家,びしょくか,bishokuka
受信機,じゅしんき,jushinki
受像機,じゅぞうき,juzouki
憂色,ゆうしょく,yuushoku
三三,さんさん,sansan
アルプス山脈,アルプスさんみゃく,arupususanmyaku
膠原病,こうげんびょう,kougenbyou
サイレント映画,サイレントえいが,sairentoeiga
小判鮫,こばんざめ,kobanzame
妖怪変化,ようかいへんげ,youkaihenge
炭素繊維,たんそせんい,tansosen'i
カーボン繊維,カーボンせんい,kaabonsen'i
求愛行動,きゅうあいこうどう,kyuuaikoudou
飯綱,いいずな,iizuna
冷菓,れいか,reika
切りっぱなしボブ,きりっぱなしボブ,kirippanashibobu
長躯,ちょうく,chouku
短躯,たんく,tanku
娼家,しょうか,shouka
罪証,ざいしょう,zaishou
年長者,ねんちょうしゃ,nenchousha
練習番号,れんしゅうばんごう,renshuubangou
繊維素,せんいそ,sen'iso
砂色,すないろ,sunairo
縊痕,いこん,ikon
モーブ色,モーブいろ,moobuiro
脳力,のうりょく,nouryoku
土鈴,どれい,dorei
蛮奴,ばんど,bando
蛮土,ばんど,bando
蕃土,ばんど,bando
礬土,ばんど,bando
白石,はくせき,hakuseki
地圧,ちあつ,chiatsu
湾岸,わんがん,wangan
障害物,しょうがいぶつ,shougaibutsu
障碍物,しょうがいぶつ,shougaibutsu
個人主義,こじんしゅぎ,kojinshugi
原理主義,げんりしゅぎ,genrishugi
レーニン主義,レーニンしゅぎ,reeninshugi
強化ガラス,きょうかガラス,kyoukagarasu
翰林院,かんりんいん,kanrin'in
半陰陽,はんいんよう,han'inyou
餡パン,あんパン,anpan
漉し餡,こしあん,koshian
粒餡,つぶあん,tsubuan
午夜,ごや,goya
廻文,かいぶん,kaibun
音栓,おんせん,onsen
遮断器,しゃだんき,shadanki
任限,にんげん,ningen
アクション映画,アクションえいが,akushoneiga
車台,しゃだい,shadai
星群,せいぐん,seigun
運動星団,うんどうせいだん,undouseidan
西軍,せいぐん,seigun
東軍,とうぐん,tougun
オリーブ油,オリーブゆ,oriibuyu
サラダ油,サラダゆ,saradayu
水芹,すいきん,suikin
ガス焜炉,ガスこんろ,gasukonro
都市ガス,としガス,toshigasu
液化石油ガス,えきかせきゆガス,ekikasekiyugasu
旋法,せんぽう,senpou
ただ今,ただいま,tadaima
共同住宅,きょうどうじゅうたく,kyoudoujuutaku
南回帰線,みなみかいきせん,minamikaikisen
北回帰線,きたかいきせん,kitakaikisen
評議員,ひょうぎいん,hyougiin
評議会,ひょうぎかい,hyougikai
ボール紙,ボールがみ,boorugami
交通手段,こうつうしゅだん,koutsuushudan
天板,てんばん,tenban
実意,じつい,jitsui
巧言,こうげん,kougen
正義感,せいぎかん,seigikan
観覧席,かんらんせき,kanranseki
橄欖石,かんらんせき,kanranseki
変成岩,へんせいがん,henseigan
返状,へんじょう,henjou
返章,へんしょう,henshou
変称,へんしょう,henshou
変象,へんしょう,henshou
編章,へんしょう,henshou
篇章,へんしょう,henshou
デジタル放送,デジタルほうそう,dejitaruhousou
備砲,びほう,bihou
臼砲,きゅうほう,kyuuhou
急便,きゅうびん,kyuubin
急斜面,きゅうしゃめん,kyuushamen
急勾配,きゅうこうばい,kyuukoubai
曳船,えいせん,eisen
コーヒー豆,コーヒーまめ,koohiimame
疾苦,しっく,shikku
英単語,えいたんご,eitango
チック症,チックしょう,chikkushou
池中,ちちゅう,chichuu
尊兄,そんけい,sonkei
存念,ぞんねん,zonnen
両存,りょうそん,ryouson
村立,そんりつ,sonritsu
仙蓼,せんりょう,senryou
全量,ぜんりょう,zenryou
旧領,きゅうりょう,kyuuryou
虬竜,きゅうりょう,kyuuryou
虯竜,きゅうりょう,kyuuryou
陋質,ろうしつ,roushitsu
臘日,ろうじつ,roujitsu
老疾,ろうしつ,roushitsu
形成体,けいせいたい,keiseitai
老足,ろうそく,rousoku
くノ一,くのいち,kunoichi
スクール水着,スクールみずぎ,sukuurumizugi
好敵手,こうてきしゅ,koutekishu
円環,えんかん,enkan
等温,とうおん,touon
導音,どうおん,douon
チームワーク,ちーむわーく,chiimuwaaku
黒ん坊,くろんぼう,kuronbou
飲用水,いんようすい,inyousui
身体障害者,しんたいしょうがいしゃ,shintaishougaisha
障碍者,しょうがいしゃ,shougaisha
障がい者,しょうがいしゃ,shougaisha
列柱廊,れっちゅうろう,retchuurou
柱廊,ちゅうろう,chuurou
中﨟,ちゅうろう,chuurou
出世魚,しゅっせうお,shusseuo
青魚,せいぎょ,seigyo
残月,ざんげつ,zangetsu
大衆魚,たいしゅうぎょ,taishuugyo
特許ファミリー,とっきょファミリー,tokkyofamirii
特許ファミリ,とっきょファミリー,tokkyofamirii
鷓鴣,しゃこ,shako
硨磲貝,しゃこがい,shakogai
硨磲,しゃこ,shako
有功,ゆうこう,yuukou
電熱線,でんねつせん,dennetsusen
電熱器,でんねつき,dennetsuki
眼裏,がんり,ganri
眼裡,がんり,ganri
羊皮紙,ようひし,youhishi
物物交換,ぶつぶつこうかん,butsubutsukoukan
手炉,しゅろ,shuro
分路,ぶんろ,bunro
雨滴,うてき,uteki
主音,しゅおん,shuon
同調音,どうちょうおん,douchouon
参謀総長,さんぼうそうちょう,sanbousouchou
百療,はくりょう,hakuryou
良法,りょうほう,ryouhou
良謀,りょうぼう,ryoubou
両旁,りょうぼう,ryoubou
良計,りょうけい,ryoukei
蜀黍,しょくりょ,shokuryo
唐黍,とうきび,toukibi
満州事変,まんしゅうじへん,manshuujihen
手羽肉,てばにく,tebaniku
炊事場,すいじば,suijiba
解職請求,かいしょくせいきゅう,kaishokuseikyuu
解散請求,かいさんせいきゅう,kaisanseikyuu
製造物責任,せいぞうぶつせきにん,seizoubutsusekinin
独裁政治,どくさいせいじ,dokusaiseiji
警察国家,けいさつこっか,keisatsukokka
福祉国家,ふくしこっか,fukushikokka
夜警国家,やけいこっか,yakeikokka
ドーナツ化現象,ドーナツかげんしょう,doonatsukagenshou
ドーナツ現象,ドーナツげんしょう,doonatsugenshou
トラス橋,トラスきょう,torasukyou
代言人,だいげんにん,daigennin
金鳳花,きんぽうげ,kinpouge
仏経,ぶっきょう,bukkyou
物狂,ぶっきょう,bukkyou
鯨油,げいゆ,geiyu
魚油,ぎょゆ,gyoyu
ペン軸,ペンじく,penjiku
異性愛者,いせいあいしゃ,iseiaisha
人間学,にんげんがく,ningengaku
コンテナ船,コンテナせん,kontenasen
コルク栓,コルクせん,korukusen
亜麻仁油,あまにゆ,amaniyu
本集,ほんしゅう,honshuu
文集,ぶんしゅう,bunshuu
興収,こうしゅう,koushuu
寇讐,こうしゅう,koushuu
拘囚,こうしゅう,koushuu
後集,こうしゅう,koushuu
蹄状,ていじょう,teijou
待避線,たいひせん,taihisen
側線,そくせん,sokusen
雁字,がんじ,ganji
雁字搦め,がんじがらめ,ganjigarame
白色テロ,はくしょくテロ,hakushokutero
赤色テロ,せきしょくテロ,sekishokutero
自爆テロ,じばくテロ,jibakutero
極小,きょくしょう,kyokushou
テレビ局,テレビきょく,terebikyoku
キリスト降誕祭,キリストこうたんさい,kirisutokoutansai
社交ダンス,しゃこうダンス,shakoudansu
猥本,わいほん,waihon
淫本,いんぽん,inpon
印本,いんぽん,inpon
淫犯,いんぼん,inbon
哀歌,あいか,aika
悲歌,ひか,hika
美果,びか,bika
赤帽,あかぼう,akabou
賞杯,しょうはい,shouhai
賞盃,しょうはい,shouhai
副賞,ふくしょう,fukushou
副将,ふくしょう,fukushou
板ガラス,いたガラス,itagarasu
窓ガラス,まどガラス,madogarasu
回転台,かいてんだい,kaitendai
クラフト紙,クラフトし,kurafutoshi
路上生活者,ろじょうせいかつしゃ,rojouseikatsusha
遊撃隊,ゆうげいたい,yuugeitai
遊撃戦,ゆうげきせん,yuugekisen
階調,かいちょう,kaichou
下絵,したえ,shitae
飛梭,ひさ,hisa
飛砂,ひさ,hisa
ヒマラヤ杉,ヒマラヤすぎ,himarayasugi
正規雇用,せいきこよう,seikikoyou
非正規雇用,ひせいきこよう,hiseikikoyou
遊離基,ゆうりき,yuuriki
觝触,ていしょく,teishoku
仕丁,じちょう,jichou
廝丁,しちょう,shichou
代銘,だいめい,daimei
許否,きょひ,kyohi
婦人服,ふじんふく,fujinfuku
紳士服,しんしふく,shinshifuku
不成立,ふせいりつ,fuseiritsu
物情,ぶつじょう,butsujou
仏乗,ぶつじょう,butsujou
大神,だいじん,daijin
大進,だいしん,daishin
少進,しょうしん,shoushin
対審,たいしん,taishin
大身,たいしん,taishin
立法機関,りっぽうきかん,rippoukikan
司法機関,しほうきかん,shihoukikan
巡守,じゅんしゅ,junshu
大震,たいしん,taishin
醇酒,じゅんしゅ,junshu
順修,じゅんしゅ,junshu
逆修,ぎゃくしゅ,gyakushu
巡酒,じゅんしゅ,junshu
強兵,きょうへい,kyouhei
行政学,ぎょうせいがく,gyouseigaku
財政学,ざいせいがく,zaiseigaku
警察権,けいさつけん,keisatsuken
アルミ缶,アルミかん,arumikan
スチール缶,スチールかん,suchiirukan
係恋,けいれん,keiren
頸聯,けいれん,keiren
検番,けんばん,kenban
見番,けんばん,kenban
原板,げんばん,genban
宗制,しゅうせい,shuusei
肉叉,にくさ,nikusa
大邸宅,だいていたく,daiteitaku
一軒家,いっけんや,ikkenya
一戸建て,いっこだて,ikkodate
戸建て,こだて,kodate
竹簡,ちくかん,chikukan
木葉,もくよう,mokuyou
簡牘,かんどく,kandoku
訛字,かじ,kaji
メイド喫茶,メイドきっさ,meidokissa
莫大小,メリヤス,meriyasu
しゃぶ,シャブ,shabu
子夜,しや,shiya
御書,ごしょ,gosho
古所,こしょ,kosho
四虚,しきょ,shikyo
豪客,ごうかく,goukaku
体技,たいぎ,taigi
性毛,せいもう,seimou
パワーアップ,ぱわーあっぷ,pawaaappu
籌画,ちゅうかく,chuukaku
中華蕎麦,ちゅうかそば,chuukasoba
上半期,かみはんき,kamihanki
下半期,しもはんき,shimohanki
不慥か,ふたしか,futashika
下薬,げやく,geyaku
不当廉売,ふとうれんばい,futourenbai
不妊治療,ふにんちりょう,funinchiryou
不手際,ふてぎわ,futegiwa
世界中,せかいじゅう,sekaijuu
乳輪,にゅうりん,nyuurin
検査官,けんさかん,kensakan
下世話,げせわ,gesewa
光輪,こうりん,kourin
上線,のぼりせん,noborisen
乾果,かんか,kanka
中間層,ちゅうかんそう,chuukansou
丹砂,たんさ,tansa
単坐,たんざ,tanza
グラニュー糖,グラニューとう,guranyuutou
美容室,びようしつ,biyoushitsu
多人数,たにんずう,taninzuu
コーヒー店,コーヒーてん,koohiiten
曙光,しょこう,shokou
諸多,しょた,shota
諸他,しょた,shota
諸兄,しょけい,shokei
諸賢,しょけん,shoken
諸人,しょじん,shojin
最寄り駅,もよりえき,moyorieki
不溶性,ふようせい,fuyousei
自動変速機,じどうへんそくき,jidouhensokuki
変速装置,へんそくそうち,hensokusouchi
変速機,へんそくき,hensokuki
朶翰,だかん,dakan
曲調,きょくちょう,kyokuchou
玉帳,ぎょくちょう,gyokuchou
玉牒,ぎょくちょう,gyokuchou
幕営,ばくえい,bakuei
単于,ぜんう,zen'u
賃借り,ちんがり,chingari
ウクライナ人,ウクライナじん,ukurainajin
ベラルーシ人,ベラルーシじん,beraruushijin
セルビア人,セルビアじん,serubiajin
クロアチア人,クロアチアじん,kuroachiajin
モンテネグロ人,モンテネグロじん,montenegurojin
ボスニア人,ボスニアじん,bosuniajin
ポルトガル語圏,ポルトガルごけん,porutogarugoken
イタリア語圏,イタリアごけん,itariagoken
ドイツ語圏,ゴイツごけん,goitsugoken
ロシア語圏,ロシアごけん,roshiagoken
アラビア語圏,アラビアごけん,arabiagoken
西バルト語群,にしバルトごぐん,nishibarutogogun
東バルト語群,ひがしバルトごぐん,higashibarutogogun
チベット・ビルマ語派,チベット・ビルマごは,chibetto.birumagoha
勿体無い,もったいない,mottainai
円筒形,えんとうけい,entoukei
好色漢,こうしょくかん,koushokukan
別冊,べっさつ,bessatsu
別格,べっかく,bekkaku
別世界,べっせかい,bessekai
創意,そうい,soui
戦卒,せんそつ,sensotsu
賤卒,せんそつ,sensotsu
選卒,せんそつ,sensotsu
正兵,せいへい,seihei
生平,せいへい,seihei
政柄,せいへい,seihei
生兵,せいへい,seihei
都道,とどう,todou
村童,そんどう,sondou
尊堂,そんどう,sondou
朝堂,ちょうどう,choudou
庁堂,ちょうどう,choudou
米線,ミーシェン,miishien
鳥道,ちょうどう,choudou
長頭,ちょうとう,choutou
更衣室,こういしつ,kouishitsu
三山時代,さんざんじだい,sanzanjidai
未曽有,みぞう,mizou
二次会,にじかい,nijikai
御族,おんぞう,onzou
御紙,おんし,onshi
望楼,ぼうろう,bourou
最安値,さいやすね,saiyasune
最高値,さいたかね,saitakane
有段,ゆうだん,yuudan
協議会,きょうぎかい,kyougikai
競技会,きょうぎかい,kyougikai
吸虫,きゅうちゅう,kyuuchuu
旧注,きゅうちゅう,kyuuchuu
古注,こちゅう,kochuu
九虫,きゅうちゅう,kyuuchuu
基剤,きざい,kizai
賦形剤,ふけいざい,fukeizai
カップ麺,カップめん,kappumen
気態,きたい,kitai
基体,きたい,kitai
鬼胎,きたい,kitai
院宣,いんぜん,inzen
陰線,いんせん,insen
飲泉,いんせん,insen
搩手,ちゃくしゅ,chakushu
𢷡手,ちゃくしゅ,chakushu
鞭打ち症,むちうちしょう,muchiuchishou
馬体,ばたい,batai
封蝋,ふうろう,fuurou
天然樹脂,てんねんじゅし,tennenjushi
孤老,ころう,korou
混合酒,こんごうしゅ,kongoushu
討論会,とうろんかい,touronkai
審議会,しんぎかい,shingikai
非営利団体,ひえいりだんたい,hieiridantai
鹿皮,ろくひ,rokuhi
着信音,ちゃくしんおん,chakushin'on
地域化,ちいきか,chiikika
進退両難,しんたいりょうなん,shintairyounan
抹香鯨,まっこうくじら,makkoukujira
登山者,とざんしゃ,tozansha
文学史,ぶんがくし,bungakushi
歯学史,しがくし,shigakushi
薬学史,やくがくし,yakugakushi
工学史,こうがくし,kougakushi
商学史,しょうがくし,shougakushi
農学史,のうがくし,nougakushi
化学史,かがくし,kagakushi
数学史,すうがくし,suugakushi
宮観,きゅうかん,kyuukan
電気屋,でんきや,denkiya
先夜,せんや,senya
裘葛,きゅうかつ,kyuukatsu
裘褐,きゅうかつ,kyuukatsu
旧記,きゅうき,kyuuki
旧規,きゅうき,kyuuki
吸器,きゅうき,kyuuki
窮鬼,きゅうき,kyuuki
旧誼,きゅうぎ,kyuugi
球戯,きゅうぎ,kyuugi
旧儀,きゅうぎ,kyuugi
トルコ人,とるこじん,torukojin
ルーマニア人,るーまにあじん,ruumaniajin
